                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                  1.619,                 1.5209,                 1.6181,                 0.8656,                0.62079,                 0.7398,                0.48911,                 1.2838,                  1.237,                 1.4047,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.5221,                 1.3845,                 1.5397,                0.83034,                0.60933,                  0.742,                0.48531,                 1.3171,                 1.2943,                 1.4193,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.5925,                 1.5248,                  1.532,                 0.8314,                0.62249,                0.73244,                0.47005,                 1.3068,                 1.2423,                 1.4202,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.4546,                 1.3944,                 1.4751,                0.84253,                0.62315,                0.75843,                0.52331,                 1.1894,                 1.1485,                 1.3744,               0.000713,               0.000713,               0.000713
                     67,                 1.4603,                 1.3836,                 1.5239,                0.83268,                0.66265,                0.76481,                0.53829,                 1.1841,                 1.1437,                 1.3517,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.4846,                 1.4796,                 1.5265,                0.77804,                0.68979,                 0.7742,                0.54272,                 1.1798,                  1.132,                 1.3538,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.4613,                 1.3815,                 1.5362,                0.83462,                0.64856,                0.77471,                0.52739,                 1.2349,                 1.1335,                 1.3531,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.4553,                 1.3982,                 1.4513,                0.84707,                0.60643,                0.75076,                0.52937,                 1.2001,                 1.1352,                  1.351,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.5194,                 1.4259,                 1.5561,                0.86444,                0.65863,                0.78413,                0.56435,                 1.1591,                 1.1213,                 1.3396,               0.000614,               0.000614,               0.000614
                     72,                 1.5352,                 1.4889,                 1.5776,                0.86506,                0.65462,                0.77663,                0.51493,                 1.2541,                 1.1645,                 1.3658,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.4752,                 1.3705,                 1.5827,                    0.9,                0.61443,                0.78326,                0.56079,                 1.1648,                 1.1377,                 1.3548,              0.0005744,              0.0005744,              0.0005744
